21:57:17.922 [main] INFO  c.a.g.utils.MessagesUtils - Getting properties from URL file:/D:/%e8%bd%af%e4%bb%b6/%e5%bc%80%e5%8f%91%e7%ad%89%e8%bd%af%e4%bb%b6/%e5%bc%80%e5%8f%91%e5%b7%a5%e5%85%b7/eclipse/Java%20Eclipse/eclipse-jee-mars-R-win32-x86_64/workspace/AutomaticQA_1/target/classes/properties/messages.properties for the default configuration
21:57:19.733 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10003.html:::::存入！
21:57:20.019 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:20.020 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10004.html：：：：下载！
21:57:20.091 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10004.html:::::存入！
21:57:20.532 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:20.534 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10005.html：：：：下载！
21:57:20.571 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10005.html:::::存入！
21:57:20.874 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:20.874 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10006.html：：：：下载！
21:57:20.957 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10006.html:::::存入！
21:57:21.412 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:21.413 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10007.html：：：：下载！
21:57:21.448 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10007.html:::::存入！
21:57:22.462 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:22.463 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10008.html：：：：下载！
21:57:22.498 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10008.html:::::存入！
21:57:22.812 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:22.813 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10009.html：：：：下载！
21:57:22.847 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10009.html:::::存入！
21:57:23.235 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:23.236 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10010.html：：：：下载！
21:57:23.270 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10010.html:::::存入！
21:57:23.539 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:23.540 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10011.html：：：：下载！
21:57:23.605 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10011.html:::::存入！
21:57:24.480 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:24.481 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10012.html：：：：下载！
21:57:24.516 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10012.html:::::存入！
21:57:24.858 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:24.858 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10013.html：：：：下载！
21:57:24.987 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10013.html:::::存入！
21:57:25.035 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:25.036 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10014.html：：：：下载！
21:57:25.116 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10014.html:::::存入！
21:57:26.751 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:26.752 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10015.html：：：：下载！
21:57:26.837 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10015.html:::::存入！
21:57:27.093 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:27.094 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10016.html：：：：下载！
21:57:27.128 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10016.html:::::存入！
21:57:27.914 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:27.916 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10017.html：：：：下载！
21:57:27.979 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10017.html:::::存入！
21:57:28.945 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:28.946 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10018.html：：：：下载！
21:57:28.980 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10018.html:::::存入！
21:57:29.399 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:29.400 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10019.html：：：：下载！
21:57:29.495 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10019.html:::::存入！
21:57:29.965 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:29.966 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10020.html：：：：下载！
21:57:29.999 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10020.html:::::存入！
21:57:30.223 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:30.225 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10021.html：：：：下载！
21:57:30.257 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10021.html:::::存入！
21:57:30.560 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:30.560 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10022.html：：：：下载！
21:57:30.595 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10022.html:::::存入！
21:57:31.454 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:31.455 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10023.html：：：：下载！
21:57:31.512 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10023.html:::::存入！
21:57:31.806 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:31.807 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10024.html：：：：下载！
21:57:31.862 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10024.html:::::存入！
21:57:32.290 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:32.291 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10025.html：：：：下载！
21:57:32.357 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10025.html:::::存入！
21:57:32.648 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:32.649 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10026.html：：：：下载！
21:57:32.726 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10026.html:::::存入！
21:57:33.091 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:33.092 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10027.html：：：：下载！
21:57:33.127 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10027.html:::::存入！
21:57:33.503 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:33.504 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10028.html：：：：下载！
21:57:33.547 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10028.html:::::存入！
21:57:33.810 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:33.811 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10029.html：：：：下载！
21:57:33.856 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10029.html:::::存入！
21:57:34.236 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:34.236 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10030.html：：：：下载！
21:57:34.295 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10030.html:::::存入！
21:57:34.814 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:34.815 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10031.html：：：：下载！
21:57:34.909 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10031.html:::::存入！
21:57:35.624 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:35.625 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10032.html：：：：下载！
21:57:35.658 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10032.html:::::存入！
21:57:35.902 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:35.903 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10033.html：：：：下载！
21:57:36.007 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10033.html:::::存入！
21:57:36.056 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:36.057 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10034.html：：：：下载！
21:57:36.089 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10034.html:::::存入！
21:57:36.364 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:36.365 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10035.html：：：：下载！
21:57:36.417 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10035.html:::::存入！
21:57:36.908 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:36.909 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10036.html：：：：下载！
21:57:36.966 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10036.html:::::存入！
21:57:37.245 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:37.246 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10037.html：：：：下载！
21:57:37.306 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10037.html:::::存入！
21:57:37.825 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:37.826 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10038.html：：：：下载！
21:57:37.861 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10038.html:::::存入！
21:57:38.187 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:38.188 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10039.html：：：：下载！
21:57:38.222 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10039.html:::::存入！
21:57:38.893 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:38.894 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10040.html：：：：下载！
21:57:38.947 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10040.html:::::存入！
21:57:39.229 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:39.230 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10041.html：：：：下载！
21:57:39.263 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10041.html:::::存入！
21:57:39.490 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:39.492 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10042.html：：：：下载！
21:57:39.599 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10042.html:::::存入！
21:57:39.652 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:39.652 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10043.html：：：：下载！
21:57:39.761 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10043.html:::::存入！
21:57:39.862 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:39.863 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10044.html：：：：下载！
21:57:39.898 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10044.html:::::存入！
21:57:40.450 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:40.450 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10045.html：：：：下载！
21:57:40.484 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10045.html:::::存入！
21:57:40.718 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:40.718 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10046.html：：：：下载！
21:57:40.752 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10046.html:::::存入！
21:57:41.467 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:41.468 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10047.html：：：：下载！
21:57:41.560 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10047.html:::::存入！
21:57:41.938 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:41.939 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10048.html：：：：下载！
21:57:41.986 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10048.html:::::存入！
21:57:42.512 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:42.513 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10049.html：：：：下载！
21:57:42.719 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10049.html:::::存入！
21:57:43.929 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:43.930 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10050.html：：：：下载！
21:57:43.989 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10050.html:::::存入！
21:57:44.991 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:44.993 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10051.html：：：：下载！
21:57:45.037 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10051.html:::::存入！
21:57:45.341 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:45.342 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10052.html：：：：下载！
21:57:45.437 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10052.html:::::存入！
21:57:45.526 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:45.527 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10053.html：：：：下载！
21:57:45.631 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10053.html:::::存入！
21:57:45.722 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:45.723 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10054.html：：：：下载！
21:57:45.813 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10054.html:::::存入！
21:57:46.511 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:46.512 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10055.html：：：：下载！
21:57:46.546 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10055.html:::::存入！
21:57:46.876 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:46.877 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10056.html：：：：下载！
21:57:46.992 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10056.html:::::存入！
21:57:47.106 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:47.107 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10057.html：：：：下载！
21:57:47.144 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10057.html:::::存入！
21:57:47.907 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:47.908 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10058.html：：：：下载！
21:57:47.986 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10058.html:::::存入！
21:57:48.368 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:48.369 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10059.html：：：：下载！
21:57:48.480 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10059.html:::::存入！
21:57:48.601 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:48.602 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10060.html：：：：下载！
21:57:48.638 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10060.html:::::存入！
21:57:49.091 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:49.091 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10061.html：：：：下载！
21:57:49.154 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10061.html:::::存入！
21:57:49.685 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:49.686 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10062.html：：：：下载！
21:57:49.742 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10062.html:::::存入！
21:57:50.029 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:50.030 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10063.html：：：：下载！
21:57:50.062 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10063.html:::::存入！
21:57:50.295 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:50.296 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10064.html：：：：下载！
21:57:50.401 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10064.html:::::存入！
21:57:50.555 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:50.556 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10065.html：：：：下载！
21:57:50.656 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10065.html:::::存入！
21:57:51.086 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:51.087 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10066.html：：：：下载！
21:57:51.125 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10066.html:::::存入！
21:57:51.425 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:51.426 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10067.html：：：：下载！
21:57:51.462 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10067.html:::::存入！
21:57:52.332 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:52.334 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10068.html：：：：下载！
21:57:52.391 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10068.html:::::存入！
21:57:52.730 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:52.734 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10069.html：：：：下载！
21:57:52.896 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10069.html:::::存入！
21:57:53.048 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:53.049 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10070.html：：：：下载！
21:57:53.093 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在向:::::F:\jsoup\info\10070.html:::::存入！
21:57:53.353 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - success！
21:57:53.354 [Thread-0] INFO  c.a.g.utils.JsoupInfoUtil - 正在链接网页：：：http://baike.baidu.com/view/10071.html：：：：下载！
